,,,,,,,Indicadores,SUMA_NETA
MATERIAL1,FECHA,,ID CENTRO,GRUPO_ARTICULOS,NOMBRE_CENTRO,CLASE_MOVIMIENTO,UNIDAD,
1,2024-01-01,1 ene. 2024,1208,GASOLINA,E/S 40128 VIÑA DEL MAR,641,L60,"335,540"
1,2024-01-01,1 ene. 2024,1210,GASOLINA,E/S 40130 QUILPUÉ,641,L60,"632,978"
1,2024-01-01,1 ene. 2024,1211,GASOLINA,E/S 40131 SANTA MARÍA,641,L60,"267,972"
1,2024-01-01,1 ene. 2024,1213,GASOLINA,E/S 40136 VALPARAÍSO,641,L60,"46,884"
1,2024-01-01,1 ene. 2024,1317,GASOLINA,E/S 40166 VIÑA DEL MAR,641,L60,"8,945"
1,2024-01-01,1 ene. 2024,1396,GASOLINA,E/S 40403 SAN FERNANDO,641,L60,0
1,2024-01-01,1 ene. 2024,1396,GASOLINA,E/S 40403 SAN FERNANDO,642,L60,0
1,2024-01-01,1 ene. 2024,C049,GASOLINA,TRANSPORTES GEMINIS,641,L60,"9,934"
1,2024-01-01,1 ene. 2024,C052,GASOLINA,DEPOSITO CASERONES,641,L60,"18,848"
1,2024-01-01,1 ene. 2024,C059,GASOLINA,PROYECTO ALMA,641,L60,"16,864"
1,2024-01-01,1 ene. 2024,C062,GASOLINA,MINERA ANTUCOYA,641,L60,"31,745"
1,2024-01-01,1 ene. 2024,C091,GASOLINA,DEPOSITO PARMA,641,L60,"18,848"
1,2024-01-01,1 ene. 2024,C099,GASOLINA,MINERA CANDELARIA,641,L60,"18,887"
1,2024-01-01,1 ene. 2024,C105,GASOLINA,EDS COPEC MILLÁN,641,L60,"16,902"
1,2024-01-01,1 ene. 2024,C111,GASOLINA,LA CALERA,641,L60,"7,962"
1,2024-01-01,1 ene. 2024,C112,GASOLINA,LOS ANDES,641,L60,"9,936"
1,2024-01-01,1 ene. 2024,C120,GASOLINA,MARÍA PINTO,641,L60,"48,647"
1,2024-01-01,1 ene. 2024,C142,GASOLINA,VILLA ALEMANA,641,L60,"13,907"
1,2024-01-01,1 ene. 2024,C144,GASOLINA,HIJUELAS,641,L60,"18,907"
1,2024-01-01,1 ene. 2024,C145,GASOLINA,VIÑA DEL MAR,641,L60,"14,930"
1,2024-01-01,1 ene. 2024,C165,GASOLINA,SAN FELIPE,641,L60,"14,883"
1,2024-01-01,1 ene. 2024,C195,GASOLINA,E/S 40062 SANTO DOMINGO,641,L60,"16,924"
1,2024-01-01,1 ene. 2024,C198,GASOLINA,E/S 40066 VALPARAÍSO,641,L60,"26,786"
1,2024-01-01,1 ene. 2024,C369,GASOLINA,E/S 40091 QUILPUÉ,641,L60,"8,941"
1,2024-01-01,1 ene. 2024,C430,GASOLINA,E/S 40103 LA SERENA,641,L60,"10,931"
1,2024-01-01,1 ene. 2024,C481,GASOLINA,E/S 40112 OVALLE,641,L60,"23,823"
1,2024-01-01,1 ene. 2024,C503,GASOLINA,,641,L60,"18,889"
1,2024-01-01,1 ene. 2024,C508,GASOLINA,,641,L60,"26,854"
1,2024-01-01,1 ene. 2024,C516,GASOLINA,,641,L60,"18,883"
1,2024-01-01,1 ene. 2024,C710,GASOLINA,,641,L60,"14,924"
1,2024-01-01,1 ene. 2024,G044,GASOLINA,,641,L60,"13,904"
1,2024-01-01,1 ene. 2024,G076,GASOLINA,,641,L60,"33,772"
1,2024-01-01,1 ene. 2024,G207,GASOLINA,,641,L60,"16,935"
1,2024-01-01,1 ene. 2024,G251,GASOLINA,,641,L60,"19,856"
1,2024-01-01,1 ene. 2024,G284,GASOLINA,,641,L60,"19,844"
1,2024-01-01,1 ene. 2024,G320,GASOLINA,,641,L60,"14,897"
1,2024-01-01,1 ene. 2024,G326,GASOLINA,,641,L60,"19,884"
1,2024-01-01,1 ene. 2024,G332,GASOLINA,,641,L60,"9,942"
1,2024-01-01,1 ene. 2024,G334,GASOLINA,,641,L60,"15,917"
1,2024-01-01,1 ene. 2024,G336,GASOLINA,,641,L60,"10,925"
1,2024-01-01,1 ene. 2024,G339,GASOLINA,,641,L60,"10,932"
1,2024-01-01,1 ene. 2024,G341,GASOLINA,,641,L60,"14,910"
1,2024-01-01,1 ene. 2024,G350,GASOLINA,,641,L60,"13,881"
1,2024-01-01,1 ene. 2024,G434,GASOLINA,,641,L60,"8,919"
1,2024-01-01,1 ene. 2024,G439,GASOLINA,,641,L60,"13,906"
1,2024-01-01,1 ene. 2024,G445,GASOLINA,,641,L60,"14,916"
1,2024-01-01,1 ene. 2024,G447,GASOLINA,,641,L60,"16,881"
1,2024-01-01,1 ene. 2024,G470,GASOLINA,,641,L60,"20,856"
1,2024-01-01,1 ene. 2024,G490,GASOLINA,,641,L60,"23,847"
1,2024-01-01,1 ene. 2024,G758,GASOLINA,,641,L60,"15,904"
1,2024-01-01,1 ene. 2024,G838,GASOLINA,,641,L60,"10,964"
1,2024-01-01,1 ene. 2024,G855,GASOLINA,,641,L60,"16,881"
1,2024-01-01,1 ene. 2024,N006,GASOLINA,,641,L60,"15,875"
1,2024-01-01,1 ene. 2024,N009,GASOLINA,,641,L60,"9,948"
1,2024-01-01,1 ene. 2024,N056,GASOLINA,,641,L60,"13,784"
1,2024-01-01,1 ene. 2024,N226,GASOLINA,,641,L60,"16,943"
1,2024-01-01,1 ene. 2024,N325,GASOLINA,,641,L60,"4,958"
1,2024-01-01,1 ene. 2024,N397,GASOLINA,,641,L60,"12,852"
1,2024-01-01,1 ene. 2024,N401,GASOLINA,,641,L60,"13,808"
1,2024-01-01,1 ene. 2024,N436,GASOLINA,,641,L60,"7,869"
1,2024-01-01,1 ene. 2024,N551,GASOLINA,,641,L60,"13,908"
1,2024-01-01,1 ene. 2024,S062,GASOLINA,,641,L60,"5,947"
1,2024-01-01,1 ene. 2024,S074,GASOLINA,,641,L60,"18,924"
1,2024-01-01,1 ene. 2024,S082,GASOLINA,,641,L60,"16,958"
1,2024-01-01,1 ene. 2024,S110,GASOLINA,,641,L60,"16,888"
1,2024-01-01,1 ene. 2024,S115,GASOLINA,,641,L60,"4,954"
1,2024-01-01,1 ene. 2024,S149,GASOLINA,,641,L60,"5,947"
1,2024-01-01,1 ene. 2024,S178,GASOLINA,,641,L60,"14,906"
1,2024-01-01,1 ene. 2024,S201,GASOLINA,,641,L60,"17,032"
1,2024-01-01,1 ene. 2024,S204,GASOLINA,,641,L60,"13,946"
1,2024-01-01,1 ene. 2024,S341,GASOLINA,,641,L60,"13,911"
1,2024-01-01,1 ene. 2024,S502,GASOLINA,,641,L60,"21,919"
1,2024-01-01,1 ene. 2024,S512,GASOLINA,,641,L60,"13,866"
1,2024-01-01,1 ene. 2024,S517,GASOLINA,,641,L60,"9,893"
1,2024-01-01,1 ene. 2024,S531,GASOLINA,,641,L60,"12,867"
1,2024-01-01,1 ene. 2024,S563,GASOLINA,,641,L60,"8,935"
1,2024-01-01,1 ene. 2024,S580,GASOLINA,,641,L60,"10,907"
1,2024-01-01,1 ene. 2024,S592,GASOLINA,,641,L60,"9,919"
1,2024-01-01,1 ene. 2024,S830,GASOLINA,,641,L60,"15,949"
1,2024-01-01,1 ene. 2024,S861,GASOLINA,,641,L60,"12,953"
1,2024-01-02,2 ene. 2024,1201,GASOLINA,E/S 40115 LA SERENA,641,L60,"64,365"
1,2024-01-02,2 ene. 2024,1202,GASOLINA,E/S 40117 SAN ANTONIO,641,L60,"96,090"
1,2024-01-02,2 ene. 2024,1205,GASOLINA,E/S 40120 CARTAGENA,641,L60,"116,298"
1,2024-01-02,2 ene. 2024,1207,GASOLINA,E/S 40126 VALPARAÍSO,641,L60,"267,600"
1,2024-01-02,2 ene. 2024,1210,GASOLINA,E/S 40130 QUILPUÉ,641,L60,"407,768"
1,2024-01-02,2 ene. 2024,1215,GASOLINA,E/S 40141 SAN ANTONIO,641,L60,"263,633"
1,2024-01-02,2 ene. 2024,1216,GASOLINA,E/S 40142 PAPUDO,641,L60,"210,264"
1,2024-01-02,2 ene. 2024,C005,GASOLINA,COMBUST. MUELLE PESQUERO ARICA,641,L60,"18,856"
1,2024-01-02,2 ene. 2024,C033,GASOLINA,CIA. SIDERURGICA HUACHIPATO,641,L60,"23,849"
1,2024-01-02,2 ene. 2024,C049,GASOLINA,TRANSPORTES GEMINIS,641,L60,"5,958"
1,2024-01-02,2 ene. 2024,C050,GASOLINA,DEPOSITO OXXEAN PTO. CHACABUCO,641,L60,"5,963"
1,2024-01-02,2 ene. 2024,C062,GASOLINA,MINERA ANTUCOYA,641,L60,"16,873"
1,2024-01-02,2 ene. 2024,C090,GASOLINA,SQM Puerto Tocopilla,641,L60,"5,957"
1,2024-01-02,2 ene. 2024,C095,GASOLINA,M/N RIEKA,641,L60,"16,887"
1,2024-01-02,2 ene. 2024,C101,GASOLINA,Salar Del Carmen,641,L60,"7,938"
1,2024-01-02,2 ene. 2024,C105,GASOLINA,EDS COPEC MILLÁN,641,L60,"9,942"
1,2024-01-02,2 ene. 2024,C107,GASOLINA,MICHALLIS,641,L60,"3,979"
1,2024-01-02,2 ene. 2024,C110,GASOLINA,EDS PLANTA PELLET,641,L60,"14,909"
1,2024-01-02,2 ene. 2024,C113,GASOLINA,VIÑA DEL MAR,641,L60,"7,959"
1,2024-01-02,2 ene. 2024,C115,GASOLINA,SAN FELIPE,641,L60,"10,952"
1,2024-01-02,2 ene. 2024,C117,GASOLINA,PUCHUNCAVÍ,641,L60,"9,926"
1,2024-01-02,2 ene. 2024,C162,GASOLINA,SAN FELIPE,641,L60,"14,899"
1,2024-01-02,2 ene. 2024,C183,GASOLINA,E/S 40055 LOS VILOS,641,L60,"17,909"
1,2024-01-02,2 ene. 2024,C185,GASOLINA,E/S 40056 SALAMANCA,641,L60,"9,940"
1,2024-01-02,2 ene. 2024,C193,GASOLINA,E/S 40060 VIÑA DEL MAR,641,L60,"7,950"
1,2024-01-02,2 ene. 2024,C195,GASOLINA,E/S 40062 SANTO DOMINGO,641,L60,"16,910"
1,2024-01-02,2 ene. 2024,C368,GASOLINA,E/S 40090 QUILLOTA,641,L60,"14,905"
1,2024-01-02,2 ene. 2024,C370,GASOLINA,E/S 40095 LA CALERA,641,L60,"5,968"
1,2024-01-02,2 ene. 2024,C430,GASOLINA,E/S 40103 LA SERENA,641,L60,"5,968"
1,2024-01-02,2 ene. 2024,C506,GASOLINA,,641,L60,"16,882"
1,2024-01-02,2 ene. 2024,C508,GASOLINA,,641,L60,"4,976"
1,2024-01-02,2 ene. 2024,C512,GASOLINA,,641,L60,"9,950"
1,2024-01-02,2 ene. 2024,C513,GASOLINA,,641,L60,"18,919"
1,2024-01-02,2 ene. 2024,C527,GASOLINA,,641,L60,"18,862"
1,2024-01-02,2 ene. 2024,C551,GASOLINA,,641,L60,"13,926"
1,2024-01-02,2 ene. 2024,G044,GASOLINA,,641,L60,"9,924"
1,2024-01-02,2 ene. 2024,G076,GASOLINA,,641,L60,"12,898"
1,2024-01-02,2 ene. 2024,G259,GASOLINA,,641,L60,"12,953"
1,2024-01-02,2 ene. 2024,G261,GASOLINA,,641,L60,"5,959"
1,2024-01-02,2 ene. 2024,G263,GASOLINA,,641,L60,"13,950"
1,2024-01-02,2 ene. 2024,G266,GASOLINA,,641,L60,"14,874"
1,2024-01-02,2 ene. 2024,G320,GASOLINA,,641,L60,"10,970"
1,2024-01-02,2 ene. 2024,G325,GASOLINA,,641,L60,"9,932"
1,2024-01-02,2 ene. 2024,G332,GASOLINA,,641,L60,"4,966"
1,2024-01-02,2 ene. 2024,G335,GASOLINA,,641,L60,"5,959"
1,2024-01-02,2 ene. 2024,G336,GASOLINA,,641,L60,"10,945"
1,2024-01-02,2 ene. 2024,G348,GASOLINA,,641,L60,"14,919"
1,2024-01-02,2 ene. 2024,G351,GASOLINA,,641,L60,"21,863"
1,2024-01-02,2 ene. 2024,G359,GASOLINA,,641,L60,"7,946"
1,2024-01-02,2 ene. 2024,G374,GASOLINA,,641,L60,"21,921"
1,2024-01-02,2 ene. 2024,G418,GASOLINA,,641,L60,"10,949"
